PubChemID,Name,SMILE,Class,class.
187,Acetylcholine,O(CC[N+](C)(C)C)C(=O)C,negative,0
243,Benzoic acid,OC(=O)c1ccccc1,negative,0
247,Betaine,OC(=O)C[N+](C)(C)C,negative,0
681,Dopamine,Oc1cc(CCN)ccc1O,negative,0
727,Lindane,Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,negative,0
774,Histamine,[nH]1c(CCN)cnc1,negative,0
1054,Pyridoxine,Oc1c(c(CO)cnc1C)CO,negative,0
1130,Thiamine,s1c(c([n+](Cc2c(nc(nc2)C)N)c1)C)CCO,negative,0
1986,Acetazolamide,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,negative,0
1993,Methacholine,O([C@@H](C[N+](C)(C)C)C)C(=O)C,negative,0
2083,Albuterol,O[C@@H](CNC(C)(C)C)c1cc(c(O)cc1)CO,negative,0
2099,Alosetron,O=C1N(CCc2n(c3c(c12)cccc3)C)Cc1nc[nH]c1C,negative,0
2131,Ambenonium,Clc1c(C[N+](CCNC(=O)C(=O)NCC[N+](Cc2c(Cl)cccc2)(CC)CC)(CC)CC)cccc1,negative,0
2140,Diatrizoate,Ic1c(NC(=O)C)c(I)c(c(I)c1NC(=O)C)C(=O)O,negative,0
2141,Amifostine,S(P(=O)(O)O)CCNCCCN,negative,0
2148,Aminohippuric acid,O=C(NCC(=O)O)c1ccc(N)cc1,negative,0
2153,Theophylline,O=c1n(c(=O)n(c2nc[nH]c12)C)C,negative,0
2161,Amlexanox,o1c2c(cc(C(C)C)cc2)c(=O)c2c1nc(N)c(c2)C(=O)O,negative,0
2196,Aniracetam,O=C1N(CCC1)C(=O)c1ccc(OC)cc1,negative,0
2197,Anisindione,O=C1[C@@H](C(=O)c2c1cccc2)c1ccc(OC)cc1,negative,0
2216,Apraclonidine,Clc1c(NC2=NCCN2)c(Cl)cc(N)c1,negative,0
2249,Atenolol,O(C[C@@H](O)CNC(C)C)c1ccc(cc1)CC(=O)N,negative,0
2266,Azelaic acid,OC(=O)CCCCCCCC(=O)O,negative,0
2267,Azelastine,Clc1ccc(Cc2nn([C@H]3CCCN(CC3)C)c(=O)c3c2cccc3)cc1,negative,0
2342,Benzquinamide,O([C@H]1[C@@H](CN2[C@@H](C1)c1c(CC2)cc(OC)c(OC)c1)C(=O)N(CC)CC)C(=O)C,negative,0
2343,Benzthiazide,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)N=C(Nc2c1)CSCc1ccccc1,negative,0
2368,Bethanidine,N(Cc1ccccc1)/C(=N/C)/NC,negative,0
2369,Betaxolol,O(CC1CC1)CCc1ccc(OC[C@@H](O)CNC(C)C)cc1,negative,0
2370,Bethanechol,O([C@@H](C[N+](C)(C)C)C)C(=O)N,negative,0
2381,Biperiden,O[C@@]([C@H]1[C@H]2C[C@@H](C1)C=C2)(CCN1CCCCC1)c1ccccc1,negative,0
2431,Bretylium,Brc1c(C[N+](CC)(C)C)cccc1,negative,0
2435,Brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12,negative,0
2477,Buspirone,O=C1N(C(=O)CC2(CCCC2)C1)CCCCN1CCN(CC1)c1ncccn1,negative,0
2484,Butenafine,N(Cc1ccc(C(C)(C)C)cc1)(Cc1c2c(ccc1)cccc2)C,negative,0
2519,Caffeine,O=c1n(c(=O)n(c2ncn(c12)C)C)C,negative,0
2564,Carbinoxamine,Clc1ccc([C@H](OCCN(C)C)c2ncccc2)cc1,negative,0
2576,Carisoprodol,O(C[C@](CCC)(COC(=O)N)C)C(=O)NC(C)C,negative,0
2583,Carteolol,O(C[C@@H](O)CNC(C)(C)C)c1c2CCC(=O)Nc2ccc1,negative,0
2719,Chloroquine,Clc1cc2nccc(N[C@@H](CCCN(CC)CC)C)c2cc1,negative,0
2722,Chloroxine,Clc1c2c(nccc2)c(O)c(Cl)c1,negative,0
2725,Chlorpheniramine,Clc1ccc([C@H](CCN(C)C)c2ncccc2)cc1,negative,0
2732,Chlorthalidone,Clc1c(S(=O)(=O)N)cc([C@]2(O)NC(=O)c3c2cccc3)cc1,negative,0
2749,Ciclopirox,On1c(C2CCCCC2)cc(cc1=O)C,negative,0
2754,Cilostazol,O(CCCCc1n(nnn1)C1CCCCC1)c1cc2CCC(=O)Nc2cc1,negative,0
2784,Clidinium,O([C@H]1[C@@H]2CC[N@+](C1)(CC2)C)C(=O)[C@](O)(c1ccccc1)c1ccccc1,negative,0
2882,Cromolyn,O(C[C@H](O)COc1c2c(oc(cc2=O)C(=O)O)ccc1)c1c2c(oc(cc2=O)C(=O)O)ccc1,negative,0
2905,Cyclopentolate,OC1(CCCC1)[C@@H](c1ccccc1)C(=O)OCCN(C)C,negative,0
2910,Cyclothiazide,Clc1cc2N[C@H](NS(=O)(=O)c2cc1S(=O)(=O)N)[C@H]1[C@H]2C[C@@H](C1)C=C2,negative,0
3007,Amphetamine,N[C@@H](Cc1ccccc1)C,negative,0
3009,Eflornithine,FC(F)[C@@](N)(CCCN)C(=O)O,negative,0
3025,Dibucaine,O(c1nc2c(c(C(=O)NCCN(CC)CC)c1)cccc2)CCCC,negative,0
3042,Dicyclomine,O(C(=O)C1(C2CCCCC2)CCCCC1)CCN(CC)CC,negative,0
3052,Diethylcarbamazine,O=C(N1CCN(CC1)C)N(CC)CC,negative,0
3055,Diphenidol,O[C@@](CCCN1CCCCC1)(c1ccccc1)c1ccccc1,negative,0
3080,Dimercaprol,S[C@@H](CS)CO,negative,0
3100,Diphenhydramine,O([C@@H](c1ccccc1)c1ccccc1)CCN(C)C,negative,0
3105,Dipivefrin,O(C(=O)C(C)(C)C)c1c(OC(=O)C(C)(C)C)ccc([C@H](O)CNC)c1,negative,0
3108,Dipyridamole,OCCN(c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO)CCO,negative,0
3152,Donepezil,O=C1[C@@H](C[C@H]2CCN(CC2)Cc2ccccc2)Cc2c1cc(OC)c(OC)c2,negative,0
3162,Doxylamine,O([C@@](c1ccccc1)(c1ncccc1)C)CCN(C)C,negative,0
3168,Droperidol,Fc1ccc(C(=O)CCCN2CCC(=CC2)n2c3c([nH]c2=O)cccc3)cc1,negative,0
3180,Dyclonine,O=C(CCN1CCCCC1)c1ccc(OCCCC)cc1,negative,0
3182,Dyphylline,O[C@@H](Cn1c2c(n(c(=O)n(c2=O)C)C)nc1)CO,negative,0
3198,Econazole,Clc1c([C@@H](OCc2ccc(Cl)cc2)Cn2ccnc2)ccc(Cl)c1,negative,0
3202,Edrophonium,Oc1cc([N+](CC)(C)C)ccc1,negative,0
3241,Epinastine,N12[C@@H](c3c(Cc4c1cccc4)cccc3)CN=C2N,negative,0
3261,Estazolam,Clc1cc2c(n3c(nnc3)CN=C2c2ccccc2)cc1,negative,0
3284,Ethinamate,O(C1(CCCCC1)C#C)C(=O)N,negative,0
3291,Ethosuximide,O=C1NC(=O)C[C@]1(CC)C,negative,0
3305,Etidronate,P(=O)(O)(O)C(P(=O)(O)O)(O)C,negative,0
3333,Felodipine,Clc1c([C@H]2C(=C(NC(=C2C(=O)OC)C)C)C(=O)OCC)cccc1Cl,negative,0
3345,Fentanyl,O=C(N([C@H]1CCN(CC1)CCc1ccccc1)c1ccccc1)CC,negative,0
3354,Flavoxate,O(CCN1CCCCC1)C(=O)c1c2oc(c(c(=O)c2ccc1)C)c1ccccc1,negative,0
3356,Flecainide,FC(F)(F)COc1c(C(=O)NC[C@H]2NCCCC2)cc(OCC(F)(F)F)cc1,negative,0
3373,Flumazenil,Fc1cc2c(n3c(CN(C2=O)C)c(nc3)C(=O)OCC)cc1,negative,0
3467,Gentamicin,O([C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1N)[C@H]1OC[C@](O)([C@H](NC)[C@H]1O)C,negative,0
3487,Glutethimide,O=C1NC(=O)CC[C@@]1(CC)c1ccccc1,negative,0
3516,Guaifenesin,O(C[C@H](O)CO)c1c(OC)cccc1,negative,0
3518,Guanethidine,N1(CCCCCCC1)CCN=C(N)N,negative,0
3598,Hexachlorophene,Clc1c(Cc2c(O)c(Cl)cc(Cl)c2Cl)c(O)c(Cl)cc1Cl,negative,0
3601,Hexafluorenium,[N+]([C@H]1c2c(c3c1cccc3)cccc2)(CCCCCC[N+]([C@H]1c2c(c3c1cccc3)cccc2)(C)C)(C)C,negative,0
3647,Hydroflumethiazide,S1(=O)(=O)NCNc2c1cc(S(=O)(=O)N)c(c2)C(F)(F)F,negative,0
3652,Hydroxychloroquine,Clc1cc2nccc(N[C@@H](CCCN(CCO)CC)C)c2cc1,negative,0
3658,Hydroxyzine,Clc1ccc([C@H](N2CCN(CC2)CCOCCO)c2ccccc2)cc1,negative,0
3676,Lidocaine,O=C(Nc1c(cccc1C)C)CN(CC)CC,negative,0
3677,Mephentermine,N(C(Cc1ccccc1)(C)C)C,negative,0
3723,Iodamide,Ic1c(CNC(=O)C)c(I)c(c(I)c1NC(=O)C)C(=O)O,negative,0
3724,Iodixanol,Ic1c(N(C[C@H](O)CN(c2c(I)c(c(I)c(c2I)C(=O)NC[C@H](O)CO)C(=O)NC[C@H](O)CO)C(=O)C)C(=O)C)c(I)c(c(I)c1C(=O)NC[C@H](O)CO)C(=O)NC[C@H](O)CO,negative,0
3730,Iohexol,Ic1c(N(C[C@H](O)CO)C(=O)C)c(I)c(c(I)c1C(=O)NC[C@H](O)CO)C(=O)NC[C@H](O)CO,negative,0
3735,Iopanoic acid,Ic1c(C[C@@H](CC)C(=O)O)c(I)cc(I)c1N,negative,0
3738,Iotrolan,Ic1c(C(=O)N[C@@H]([C@H](O)CO)CO)c(I)c(N(C(=O)CC(=O)N(c2c(I)c(C(=O)N[C@@H]([C@H](O)CO)CO)c(I)c(C(=O)N[C@@H]([C@H](O)CO)CO)c2I)C)C)c(I)c1C(=O)N[C@@H]([C@H](O)CO)CO,negative,0
3741,Ioversol,Ic1c(N(CCO)C(=O)CO)c(I)c(c(I)c1C(=O)NC[C@H](O)CO)C(=O)NC[C@H](O)CO,negative,0
3743,Ioxilan,Ic1c(N(C[C@H](O)CO)C(=O)C)c(I)c(c(I)c1C(=O)NC[C@H](O)CO)C(=O)NCCO,negative,0
3762,Isoetharine,O[C@@H]([C@H](NC(C)C)CC)c1cc(O)c(O)cc1,negative,0
3775,Isopropamide,O=C(N)[C@](CC[N+](C(C)C)(C(C)C)C)(c1ccccc1)c1ccccc1,negative,0
3779,Isoproterenol,O[C@@H](CNC(C)C)c1cc(O)c(O)cc1,negative,0
3821,Ketamine,Clc1c([C@]2(NC)CCCCC2=O)cccc1,negative,0
3827,Ketotifen,s1c2c(C(=C3CCN(CC3)C)c3c(CC2=O)cccc3)cc1,negative,0
3948,Lomefloxacin,Fc1c(N2C[C@H](NCC2)C)c(F)cc2c1n(CC)cc(c2=O)C(=O)O,negative,0
3950,Lomustine,ClCCN(N=O)C(=O)NC1CCCCC1,negative,0
3955,Loperamide,Clc1ccc([C@]2(O)CCN(CC2)CC[C@@](c2ccccc2)(c2ccccc2)C(=O)N(C)C)cc1,negative,0
3998,Mafenide,S(=O)(=O)(N)c1ccc(cc1)CN,negative,0
4004,Malathion,S(P(=S)(OC)OC)[C@@H](CC(=O)OCC)C(=O)OCC,negative,0
4020,Mazindol,Clc1ccc([C@]2(O)N3C(=NCC3)c3c2cccc3)cc1,negative,0
4032,Mecamylamine,N([C@]1(C([C@H]2C[C@@H]1CC2)(C)C)C)C,negative,0
4033,Mechlorethamine,ClCCC(N)CCCl,negative,0
4034,Meclizine,Clc1ccc([C@H](N2CCN(CC2)Cc2cc(ccc2)C)c2ccccc2)cc1,negative,0
4057,Mepenzolate,O([C@H]1C[N+](CCC1)(C)C)C(=O)[C@](O)(c1ccccc1)c1ccccc1,negative,0
4058,Meperidine,O(C(=O)C1(CCN(CC1)C)c1ccccc1)CC,negative,0
4062,Mepivacaine,O=C(Nc1c(cccc1C)C)[C@H]1N(CCCC1)C,negative,0
4064,Meprobamate,O(CC(CCC)(COC(=O)N)C)C(=O)N,negative,0
4078,Mesoridazine,S1c2c(N(CC[C@H]3N(CCCC3)C)c3c1cccc3)cc([S@](=O)C)cc2,negative,0
4086,Metaproterenol,O[C@@H](CNC(C)C)c1cc(O)cc(O)c1,negative,0
4097,Methantheline,O(CC[N+](CC)(CC)C)C(=O)[C@H]1c2c(Oc3c1cccc3)cccc2,negative,0
4100,Methazolamide,S(=O)(=O)(N)c1s/c(=N\C(=O)C)/n(n1)C,negative,0
4107,Methocarbamol,O(C[C@H](O)COC(=O)N)c1c(OC)cccc1,negative,0
4121,Methyclothiazide,ClC[C@H]1N(S(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2)C,negative,0
4168,Metoclopramide,Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,negative,0
4174,Metyrapone,O=C(C(c1cccnc1)(C)C)c1cccnc1,negative,0
4189,Miconazole,Clc1c([C@@H](OCc2c(Cl)cc(Cl)cc2)Cn2ccnc2)ccc(Cl)c1,negative,0
4192,Midazolam,Clc1cc2c(n3c(CN=C2c2c(F)cccc2)cnc3C)cc1,negative,0
4195,Midodrine,O[C@@H](c1c(OC)ccc(OC)c1)CNC(=O)CN,negative,0
4211,Mitotane,ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1c(Cl)cccc1,negative,0
4421,Nalidixic acid,O=c1c2c(n(CC)cc1C(=O)O)nc(cc2)C,negative,0
4436,Naphazoline,N1C(=NCC1)Cc1c2c(ccc1)cccc2,negative,0
4440,Naratriptan,S(=O)(=O)(NC)CCc1cc2c(C3CCN(CC3)C)c[nH]c2cc1,negative,0
4474,Nicardipine,O(C(=O)C1=C(NC(=C([C@H]1c1cc(N(=O)=O)ccc1)C(=O)OC)C)C)CCN(Cc1ccccc1)C,negative,0
4477,Niclosamide,Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc(N(=O)=O)c1,negative,0
4499,Nisoldipine,O(C(=O)C1=C(NC(=C([C@H]1c1c(N(=O)=O)cccc1)C(=O)OC)C)C)CC(C)C,negative,0
4510,Nitroglycerin,O(N(=O)=O)C(CON(=O)=O)CON(=O)=O,negative,0
4601,Orphenadrine,O([C@@H](c1c(cccc1)C)c1ccccc1)CCN(C)C,negative,0
4631,Oxprenolol,O(C[C@@H](O)CNC(C)C)c1c(OCC=C)cccc1,negative,0
4633,Benoxinate,O(CCN(CC)CC)C(=O)c1cc(OCCCC)c(N)cc1,negative,0
4634,Oxybutynin,O[C@@](C1CCCCC1)(c1ccccc1)C(=O)OCC#CCN(CC)CC,negative,0
4636,Oxymetazoline,Oc1c(C(C)(C)C)cc(c(c1C)CC1=NCCN1)C,negative,0
4642,Oxyphencyclimine,O[C@@](C1CCCCC1)(c1ccccc1)C(=O)OCC1=NCCCN1C,negative,0
4674,Pamidronate,P(=O)(O)(O)C(P(=O)(O)O)(O)CCN,negative,0
4737,Pentobarbital,O=C1NC(=O)NC(=O)C1([C@@H](CCC)C)CC,negative,0
4762,Phenmetrazine,O1[C@@H]([C@H](NCC1)C)c1ccccc1,negative,0
4768,Phenoxybenzamine,ClCCN([C@@H](COc1ccccc1)C)Cc1ccccc1,negative,0
4771,Phentermine,NC(Cc1ccccc1)(C)C,negative,0
4826,Pinacidil,N(=C(\Nc1ccncc1)/NC#N)/[C@@H](C(C)(C)C)C,negative,0
4837,Piperazine,N1CCNCC1,negative,0
4842,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,negative,0
4845,Pirbuterol,O[C@@H](CNC(C)(C)C)c1nc(c(O)cc1)CO,negative,0
4870,Polythiazide,Clc1cc2N[C@H](N(S(=O)(=O)c2cc1S(=O)(=O)N)C)CSCC(F)(F)F,negative,0
4890,Prazepam,Clc1cc2c(N(CC3CC3)C(=O)CN=C2c2ccccc2)cc1,negative,0
4906,Prilocaine,O=C(Nc1c(cccc1)C)[C@H](NCCC)C,negative,0
4908,Primaquine,O(c1cc(N[C@@H](CCCN)C)c2ncccc2c1)C,negative,0
4909,Primidone,O=C1NCNC(=O)C1(CC)c1ccccc1,negative,0
4914,Procaine,O(CCN(CC)CC)C(=O)c1ccc(N)cc1,negative,0
4919,Procyclidine,O[C@@](C1CCCCC1)(CCN1CCCC1)c1ccccc1,negative,0
4934,Propantheline,O(CC[N+](C(C)C)(C(C)C)C)C(=O)[C@H]1c2c(Oc3c1cccc3)cccc2,negative,0
4935,Proparacaine,O(CCN(CC)CC)C(=O)c1cc(N)c(OCCC)cc1,negative,0
4940,Propiomazine,S1c2c(N(C[C@H](N(C)C)C)c3c1cccc3)cc(cc2)C(=O)CC,negative,0
4949,Propyliodone,Ic1cn(CC(=O)OCCC)cc(I)c1=O,negative,0
4991,Pyridostigmine,O(c1c[n+](ccc1)C)C(=O)N(C)C,negative,0
4993,Pyrimethamine,Clc1ccc(c2c(nc(nc2N)N)CC)cc1,negative,0
4999,Quazepam,Clc1cc2c(N(CC(F)(F)F)C(=S)CN=C2c2c(F)cccc2)cc1,negative,0
5071,Rimantadine,N[C@@H]([C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)C,negative,0
5078,Rizatriptan,[nH]1c2c(c(CCN(C)C)c1)cc(cc2)Cn1ncnc1,negative,0
5095,Ropinirole,O=C1Nc2c(c(CCN(CCC)CCC)ccc2)C1,negative,0
5152,Salmeterol,O(CCCCCCNC[C@H](O)c1cc(c(O)cc1)CO)CCCCc1ccccc1,negative,0
5193,Secobarbital,O=C1NC(=O)NC(=O)C1([C@@H](CCC)C)CC=C,negative,0
5215,Sulfadiazine,S(=O)(=O)(Nc1ncccn1)c1ccc(N)cc1,negative,0
5241,Ipodate,Ic1c(CCC(=O)O)c(I)cc(I)c1/N=C/N(C)C,negative,0
5245,Risedronate,P(=O)(O)(O)C(P(=O)(O)O)(O)Cc1cccnc1,negative,0
5311,Vorinostat,O=C(Nc1ccccc1)CCCCCCC(=O)NO,negative,0
5314,Succinylcholine,O(CC[N+](C)(C)C)C(=O)CCC(=O)OCC[N+](C)(C)C,negative,0
5318,Sulconazole,Clc1c([C@@H](SCc2ccc(Cl)cc2)Cn2ccnc2)ccc(Cl)c1,negative,0
5320,Sulfacetamide,S(=O)(=O)(NC(=O)C)c1ccc(N)cc1,negative,0
5342,Sulfinpyrazone,[S@](=O)(CC[C@H]1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)c1ccccc1,negative,0
5358,Sumatriptan,S(=O)(=O)(NC)Cc1cc2c(CCN(C)C)c[nH]c2cc1,negative,0
5381,Tazarotene,S1CCC(c2c1ccc(c2)C#Cc1ncc(cc1)C(=O)OCC)(C)C,negative,0
5391,Temazepam,Clc1cc2c(N(C(=O)[C@@H](O)N=C2c2ccccc2)C)cc1,negative,0
5401,Terazosin,O1[C@@H](CCC1)C(=O)N1CCN(CC1)c1nc2c(c(n1)N)cc(OC)c(OC)c2,negative,0
5419,Tetrahydrozoline,N1C(=NCC1)[C@H]1CCCc2c1cccc2,negative,0
5453,Thiotepa,S=P(N1CC1)(N1CC1)N1CC1,negative,0
5482,Tioconazole,Clc1c([C@@H](OCc2ccsc2Cl)Cn2ccnc2)ccc(Cl)c1,negative,0
5526,Tranexamic acid,OC(=O)[C@H]1CC[C@@H](CC1)CN,negative,0
5560,Trichlormethiazide,ClC(Cl)[C@H]1NS(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2,negative,0
5565,Trientine,N(CCNCCN)CCN,negative,0
5572,Trihexyphenidyl,O[C@@](C1CCCCC1)(CCN1CCCCC1)c1ccccc1,negative,0
5585,Trioxsalen,o1c2c(cc3c(oc(=O)cc3C)c2C)cc1C,negative,0
5587,Tripelennamine,N(CCN(C)C)(Cc1ccccc1)c1ncccc1,negative,0
5593,Tropicamide,O=C(N(Cc1ccncc1)CC)[C@@H](c1ccccc1)CO,negative,0
5596,Trospium,O([C@H]1C[C@@H]2[N+]3([C@@H](CC2)C1)CCCC3)C(=O)[C@](O)(c1ccccc1)c1ccccc1,negative,0
5719,Zaleplon,O=C(N(c1cc(c2n3ncc(c3ncc2)C#N)ccc1)CC)C,negative,0
5735,Zopiclone,Clc1ccc(N2[C@H](OC(=O)N3CCN(CC3)C)c3nccnc3C2=O)nc1,negative,0
5770,Reserpine,O([C@@H]1[C@H]([C@@H]2[C@@H](CN3[C@H](C2)c2[nH]c4c(c2CC3)ccc(OC)c4)C[C@H]1OC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC)C,negative,0
5775,Phentolamine,Oc1cc(N(CC2=NCCN2)c2ccc(cc2)C)ccc1,negative,0
5780,Sorbitol,O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO,negative,0
5816,Epinephrine,O[C@H](c1cc(O)c(O)cc1)CNC,negative,0
5826,Dextroamphetamine,N[C@H](Cc1ccccc1)C,negative,0
5831,Carbachol,O(CC[N+](C)(C)C)C(=O)N,negative,0
5906,Metaraminol,O[C@@H]([C@@H](N)C)c1cc(O)ccc1,negative,0
5910,Pilocarpine,O1C[C@@H]([C@H](CC)C1=O)Cc1n(cnc1)C,negative,0
5920,Liothyronine,Ic1cc(C[C@H](N)C(=O)O)cc(I)c1Oc1cc(I)c(O)cc1,negative,0
5936,Isoflurophate,P(=O)(F)(OC(C)C)OC(C)C,negative,0
5966,Demecarium,O(c1cc([N+](C)(C)C)ccc1)C(=O)N(CCCCCCCCCCN(C(=O)Oc1cc([N+](C)(C)C)ccc1)C)C,negative,0
6000,Tubocurarine,O1c2c3[C@H]([N+](CCc3cc(OC)c2O)(C)C)Cc2cc(Oc3cc4[C@@H](N(CCc4cc3OC)C)Cc3ccc1cc3)c(O)cc2,negative,0
6005,Apomorphine,Oc1c2c3c4[C@H](N(CCc4ccc3)C)Cc2ccc1O,negative,0
6018,Tetrabenazine,O=C1[C@H](CN2[C@@H](C1)c1c(CC2)cc(OC)c(OC)c1)CC(C)C,negative,0
